event_id_cnty,event_date,year,event_type,actor1,actor2,latitude,longitude,fatalities,dyad_name
UKR25053,08/09/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Civilians (Ukraine),48.079,37.7635,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR24877,06/09/2019 00:00,2019,Battles,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.1298,37.8594,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR24737,05/09/2019 00:00,2019,Violence against civilians,Unidentified Armed Group (Ukraine),Civilians (Ukraine),50.4756,32.5917,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR24797,05/09/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.1924,37.7252,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR24859,05/09/2019 00:00,2019,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,47.4499,37.9418,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR24786,04/09/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.1478,37.7881,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR24848,04/09/2019 00:00,2019,Battles,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.338,37.9755,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR24847,04/09/2019 00:00,2019,Battles,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.4046,38.0817,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR24732,04/09/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Civilians (Ukraine),47.968,37.5475,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR24767,02/09/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.1478,37.7881,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR24652,31/08/2019 00:00,2019,Battles,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.3435,37.942,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR24592,30/08/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Police Forces of Ukraine (2019-) State Border Guard Service,50.2908,36.9411,1,Unidentified Armed Group (Ukraine) - Police Forces of Ukraine (2019-) State Border Guard Service
UKR24602,30/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.1478,37.7881,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR24564,29/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),48.4292,38.0094,2,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR24571,29/08/2019 00:00,2019,Explosions/Remote violence,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,47.408,37.8984,3,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR24409,25/08/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),Military Forces of Ukraine (2014-2019),46.5772,30.548,1,Military Forces of Ukraine (2014-2019) - Military Forces of Ukraine (2014-2019)
UKR24414,25/08/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.9425,37.505,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR24412,25/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.6539,37.6793,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR24382,24/08/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Civilians (Ukraine),48.9054,24.7553,2,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR24357,23/08/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.416,38.1346,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR24325,22/08/2019 00:00,2019,Violence against civilians,Unidentified Armed Group (Ukraine),Civilians (Ukraine),48.5153,32.2545,1,Unidentified Armed Group (Ukraine) - Civilians (Ukraine)
UKR24180,18/08/2019 00:00,2019,Violence against civilians,Military Forces of Ukraine (2014-2019),Civilians (Ukraine),51.2539,30.1886,1,Military Forces of Ukraine (2014-2019) - Civilians (Ukraine)
UKR24099,15/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),48.0669,37.6664,2,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR24050,14/08/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),48.6828,38.5508,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23895,10/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.242,37.7925,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23892,10/08/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),Military Forces of Ukraine (2014-2019),48.4312,38.3518,2,Unidentified Armed Group (Ukraine) - Military Forces of Ukraine (2014-2019)
UKR23888,09/08/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,47.1745,37.811,2,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR23889,09/08/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.0987,37.8199,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR23840,08/08/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,47.2972,37.9076,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
RUS2894,07/08/2019 00:00,2019,Battles,Police Forces of Russia (2000-),Unidentified Armed Group (Russia),43.5437,44.7459,1,Police Forces of Russia (2000-) - Unidentified Armed Group (Russia)
UKR23775,06/08/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.2656,37.7787,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
