,id,year,dyad_name,longitude,latitude,country,country_id,side_a_new_id,side_a,side_b_new_id,side_b,deaths_total,event_civilian,event_relevant,boko_haram_involved,
67,41413,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12,0,1,0,Yes
68,41415,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,6.55694,9.61389,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
69,41416,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,6.79782,8.0912,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
70,41418,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,20,0,1,0,Yes
71,41419,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,6.56667,9.05,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
72,41420,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,7.43828,10.52224,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
73,41421,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12.133333,9.416667,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
74,41422,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4,0,1,0,Yes
75,41423,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.54889,10.85219,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3,0,1,0,Yes
76,41425,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.16729,10.28969,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12,0,1,0,Yes
77,41427,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,9.928,11.6698,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3,0,1,0,Yes
78,41431,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3,0,1,0,Yes
79,41432,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4,0,1,0,Yes
80,41433,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
81,41435,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
82,41436,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.68558,11.5221,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
83,41437,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3,0,1,0,Yes
84,41438,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.26436,10.26761,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
85,41440,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,7.43828,10.52224,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
86,41442,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
87,41443,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
88,41444,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.40385,11.24338,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,9,0,1,0,Yes
89,41446,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,6,0,1,0,Yes
90,41447,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
91,41448,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.334444,11.6775,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4,0,1,0,Yes
92,41450,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3,0,1,0,Yes
93,41451,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
94,41452,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,6.233333,7.55,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11,0,1,0,Yes
95,41453,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.5,12,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
96,41454,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12.91104,10.64697,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
97,41455,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,7.43828,10.52224,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
98,41456,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
99,41457,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
100,41458,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3,0,1,0,Yes
101,41459,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,6,0,1,0,Yes
102,41460,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.0694,11.7091,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
103,41461,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.91815,12.03609,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,5,0,1,0,Yes
104,41462,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,14.152438,11.255863,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
105,41464,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
106,41465,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
107,41466,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.9608,11.747,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
108,41467,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
109,41468,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
110,41469,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12.19458,10.61285,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,5,0,1,0,Yes
111,41470,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
112,41471,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,14.21296,11.3548,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
113,41472,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
