"","id","year","date_start","longitude","latitude","dyad_name","side_a","side_b","deaths_total","event_relevant","event_civilians","al_shabaab_involved","al_shabaab_involved_txt"
"3910",209587,2015,"2015-05-08",44.683333,2.65,"Al-Shabaab - ONLF","Al-Shabaab","ONLF",2,1,0,1,"Yes"
"3911",209703,2015,"2015-09-29",44.76388,1.71305,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3912",209740,2015,"2015-10-07",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3913",211379,2015,"2015-10-07",45.116667,2.15,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3914",211384,2015,"2015-10-09",43.5,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3915",211410,2015,"2015-10-18",42.3,3.22,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",8,1,0,1,"Yes"
"3916",211414,2015,"2015-10-18",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3917",211526,2015,"2015-10-22",45.563259,4.211071,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3918",211527,2015,"2015-10-23",47.430833,6.769722,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3919",211561,2015,"2015-10-24",42.976677,2.410514,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",15,1,0,1,"Yes"
"3920",211603,2015,"2015-11-01",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",12,1,0,1,"Yes"
"3921",211640,2015,"2015-11-01",42.976677,2.410514,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",11,1,0,1,"Yes"
"3922",211693,2015,"2015-11-02",45.5529,3.59208,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",6,1,0,1,"Yes"
"3923",211712,2015,"2015-11-05",41.874525,3.929306,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"3924",211715,2015,"2015-11-05",41.735699,3.4232,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3925",211725,2015,"2015-11-07",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3926",211739,2015,"2015-11-08",45.4583,4.33542,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3927",211748,2015,"2015-11-09",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3928",211765,2015,"2015-11-11",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3929",211776,2015,"2015-11-11",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3930",212217,2015,"2015-11-13",48,7,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3931",212219,2015,"2015-11-13",42.545365,-0.358173,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",15,1,0,1,"Yes"
"3932",212221,2015,"2015-11-14",45.466345,4.056695,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3933",212253,2015,"2015-11-14",45.203611,4.735833,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3934",212264,2015,"2015-11-17",47.430833,6.769722,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3935",212267,2015,"2015-11-19",45.116667,2.15,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3936",212302,2015,"2015-11-26",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3937",212303,2015,"2015-11-26",43.183333,3.233333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3938",212306,2015,"2015-11-27",44.030278,1.113333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"3939",212331,2015,"2015-12-02",42.976677,2.410514,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",10,1,0,1,"Yes"
"3940",212341,2015,"2015-12-04",45.203611,4.735833,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",13,1,0,1,"Yes"
"3941",213153,2015,"2015-12-06",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3942",213242,2015,"2015-12-10",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3943",213244,2015,"2015-12-10",43.1627,2.07368,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",6,1,0,1,"Yes"
"3944",213251,2015,"2015-12-11",45.203611,4.735833,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3945",213263,2015,"2015-12-12",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3946",213295,2015,"2015-12-14",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3947",213343,2015,"2015-12-16",45.116667,2.15,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3948",213347,2015,"2015-12-18",44.57828,1.65667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3949",213358,2015,"2015-12-19",44.85668,1.86593,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3950",213365,2015,"2015-12-19",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3951",213372,2015,"2015-12-21",44.833333,1.983333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3952",213373,2015,"2015-12-21",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3953",213443,2015,"2015-12-21",45.59693,3.38342,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3954",213445,2015,"2015-12-21",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3955",213478,2015,"2015-12-21",44.35,1.6,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3956",213479,2015,"2015-12-22",44.833333,1.983333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"3957",213481,2015,"2015-12-22",42.976677,2.410514,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"3958",213507,2015,"2015-12-23",42.545365,-0.358173,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3959",213509,2015,"2015-12-26",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3960",213925,2015,"2015-12-28",44.533333,1.783333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3961",213927,2015,"2015-12-29",42.07685,2.3743,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",11,1,0,1,"Yes"
"3962",213928,2015,"2015-12-30",45.44405,4.15787,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3963",213950,2016,"2016-01-02",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3964",213952,2016,"2016-01-01",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3965",214859,2015,"2015-01-01",44,7,"Government of Ethiopia - ONLF","Government of Ethiopia","ONLF",25,1,0,0,"No"
"3966",219273,2016,"2016-01-03",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3967",219297,2016,"2016-01-04",45.116667,2.15,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",8,1,0,1,"Yes"
"3968",219342,2016,"2016-01-05",44.083333,2.783333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3969",219362,2016,"2016-01-07",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3970",219365,2016,"2016-01-07",43.473148,3.31817,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",8,1,0,1,"Yes"
"3971",219367,2016,"2016-01-06",43.15,4.35,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3972",219369,2016,"2016-01-06",42.285637,2.338564,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3973",219370,2016,"2016-01-08",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3974",219390,2016,"2016-01-14",46.616667,4.683333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",6,1,0,1,"Yes"
"3975",219392,2016,"2016-01-15",41.86737,3.03594,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",227,1,0,1,"Yes"
"3976",219393,2016,"2016-01-14",46.083333,4.383333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3977",223521,2016,"2016-01-17",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3978",223543,2016,"2016-01-20",42,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3979",223564,2016,"2016-01-21",44.533333,1.633333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3980",227756,2016,"2016-01-21",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3981",227931,2016,"2016-01-29",45.116667,2.15,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3982",227939,2016,"2016-02-01",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3983",227982,2016,"2016-02-04",45.65694,2.88306,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",8,1,0,1,"Yes"
"3984",227988,2016,"2016-02-05",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3985",228008,2016,"2016-02-05",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3986",228016,2016,"2016-02-06",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3987",228019,2016,"2016-02-06",44.76388,1.71305,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"3988",228022,2016,"2016-02-07",44.533333,1.783333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3989",228031,2016,"2016-02-09",42.195939,-0.220142,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3990",228043,2016,"2016-02-15",45.116667,2.15,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3991",228045,2016,"2016-02-15",45.116667,2.15,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3992",228317,2016,"2016-02-22",48,7,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",23,1,0,1,"Yes"
"3993",228320,2016,"2016-02-25",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3994",228321,2016,"2016-02-25",42.220853,3.316272,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
"3995",228322,2016,"2016-02-26",43.9,4.116667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",10,1,0,1,"Yes"
"3996",228324,2016,"2016-02-26",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",23,1,0,1,"Yes"
"3997",228332,2016,"2016-02-28",43.65,3.116667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",30,1,0,1,"Yes"
"3998",228333,2016,"2016-02-29",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3999",228334,2016,"2016-03-01",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"4000",228352,2016,"2016-03-01",45.17662,2.09048,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",4,1,0,1,"Yes"
