"","X.2","X.1","X","id","year","date_start","conflict_name","dyad_name","longitude","latitude","where_prec","priogrid_gid","country","country_id","deaths_a","deaths_b","deaths_civilians","deaths_unknown","side_a_new_id","side_a","side_a_relevant","side_b_new_id","side_b","side_b_relevant","deaths_battle","deaths_total","event_relevant","event_civilians","event_community","event_rel_out"
"2360",2360,2360,2360,232072,2016,"2016-09-01","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",14.0389,11.1106,1,145829,"Cameroon",471,0,0,1,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,1,0,1,0,0
"2361",2361,2361,2361,232084,2016,"2016-09-30","Cameroon: Islamic State","Government of Cameroon - IS",14.22774,12.37308,2,147269,"Cameroon",471,1,0,0,0,83,"Government of Cameroon",1,234,"IS",1,1,1,1,0,0,0
"2362",2362,2362,2362,232085,2016,"2016-10-06","Cameroon: Islamic State","Government of Cameroon - IS",14.25867,12.5514,1,147989,"Cameroon",471,1,1,0,0,83,"Government of Cameroon",1,234,"IS",1,2,2,1,0,0,0
"2363",2363,2363,2363,232096,2016,"2016-10-14","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",14.07151,11.15429,1,145829,"Cameroon",471,0,0,1,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,1,0,1,0,0
"2364",2364,2364,2364,232099,2016,"2016-10-16","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",14.44346,11.31806,1,145829,"Cameroon",471,0,0,3,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,3,0,1,0,0
"2365",2365,2365,2365,232100,2016,"2016-10-19","Cameroon:Government","Government of Cameroon - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.85365,11.08919,1,145828,"Cameroon",471,1,0,0,0,83,"Government of Cameroon",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,1,1,0,0,0
"2366",2366,2366,2366,232101,2016,"2016-10-22","Cameroon:Government","Government of Cameroon - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.79351,10.58221,3,145108,"Cameroon",471,0,12,0,0,83,"Government of Cameroon",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,12,12,1,0,0,0
"2367",2367,2367,2367,232102,2016,"2016-10-23","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.93389,11.11436,2,145828,"Cameroon",471,0,0,1,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,1,0,1,0,0
"2368",2368,2368,2368,232103,2016,"2016-10-29","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",14.2056,11.10682,3,145829,"Cameroon",471,0,0,1,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,1,0,1,0,0
"2369",2369,2369,2369,232105,2016,"2016-11-01","Nigeria: Islamic State","Government of Nigeria - IS",13.8293,12.36532,2,147268,"Nigeria",475,0,6,0,0,84,"Government of Nigeria",1,234,"IS",1,6,6,1,0,0,0
